method,placement,dataset,seed,trainable,total,pct,best_val,test_acc,epochs,lr,wd,drop_path,peak_mem_mb,train_time_s
ssf,early,pets,43,96037,85894693,0.1118,95.109,92.832,30,0.001,0.0005,0.0,9172.8,188.7
ssf,early,pets,44,96037,85894693,0.1118,97.011,93.295,30,0.001,0.0005,0.0,9172.8,189.8
ssf,even,pets,42,96037,85894693,0.1118,97.011,93.731,30,0.001,0.0005,0.0,9176.5,191.8
ssf,even,pets,43,96037,85894693,0.1118,95.924,93.568,30,0.001,0.0005,0.0,9176.5,191.8
ssf,even,pets,44,96037,85894693,0.1118,97.554,93.104,30,0.001,0.0005,0.0,9176.5,191.0
ssf,late,pets,42,96037,85894693,0.1118,96.196,93.731,30,0.001,0.0005,0.0,5741.0,188.1
ssf,late,pets,43,96037,85894693,0.1118,95.38,93.622,30,0.001,0.0005,0.0,5741.0,188.3
ssf,late,pets,44,96037,85894693,0.1118,97.283,93.077,30,0.001,0.0005,0.0,5741.0,189.1
ssf,mid,pets,42,96037,85894693,0.1118,96.467,93.922,30,0.001,0.0005,0.0,7244.1,189.9
ssf,mid,pets,43,96037,85894693,0.1118,95.38,93.731,30,0.001,0.0005,0.0,7244.1,188.2
ssf,mid,pets,44,96037,85894693,0.1118,97.011,93.159,30,0.001,0.0005,0.0,7244.1,187.8
